ID Name,Sample Name,Gear Type,Gear Type Code,Color,Primary Color If Multi,Gear Type If Multi,Language,Manufacturer,Brand,Manufacturing Country,Distributing Country,Link to photo,Comments:
OAH_19-002,OAH_19,Float,FL,black,,,Japanese,"Oyama Blow Ind co., ltd.",,,,OAH_19,
OAH_19-003,OAH_19,Float,FL,black,,,English/Arabic numbers,,,,,OAH_19,
OAH_19-004,OAH_19,Float,FL,black,,,English/Arabic numbers,,,,,OAH_19,
OAH_19-006,OAH_19,Float,Fl,orange,,,English,,,,,OAH_19,
OAH_19-005,OAH_19,Float,FL,multi,,,Arabic numbers,,,,,OAH_19,
OAH_19-005,OAH_19,Hard plastic,HP,black,,,English/Arabic numbers,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,English,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,English,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,English/Arabic numbers,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,English/Arabic numbers,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,Arabic Numbers,,,,,OAH_19,
OAH_19-009,OAH_19,Float,FL,multi,,,English/Arabic numbers,,,,,OAH_19,
OAH_20-008,OAH_20,Other,O,black,,,English,,,,,Lab Subsamples OAH_20,
OAH_20-002,OAH_20,-,-,silver,,,English ,,,,,Lab Subsamples OAH_20,
OAH_20-005,OAH_20,Float,FL,multi,,,Latin style letters,,,,,Lab Subsamples OAH_20,
OAH_22-002,OAH_22,Float,FL,black,,,Korean,,,Korea,,OAH_22,
OAH_23-001,OAH_23,,,,,,latin style letters/arabic numbers,,,,,OAH_23,
OAH_23-002,OAH_23,,,,,,latin style letters/arabic numbers,,,,,OAH_23,
OAH_23-008,OAH_23,float,FL,red,,,latin style letters/arabic numbers,,,,,OAH_23,
OAH_23-009,OAH_23,,,,,,latin style letters/arabic numbers,,,,,OAH_23,
OAH_24-009,OAH_24,Float,FL,white,,,Chinese,,,,,OAH_24,
OAH_24-058,OAH_24,Multiple,M,multi,,,Arabic numbers/ Chinese,,,,,OAH_24,
OAH_27-047,OAH_27,Float,FL,red,,,English/ Arabic Numbers,,,,,OAH_27,
OAH_37-001,OAH_37,Float,FL,yellow,,,Latin letters,,,,,Lab Sample Photos,
OAH_39-016,OAH_39,Multiple,M,Multi,,,Japanese,,,,,OAH_39,
OAH_40-001,OAH_40,Line,L,multi,,,Japanese,Tesak,,,,OAH_40,
OAH_43-001,OAH_43,Float,FL,blue,,,Arabic numbers/Chinese,,,,,OAH_43,
OAH_43-001,OAH_43,Float,FL,blue,,,Chinese,,,,,OAH_43,
OAH_44_Buoy-001,OAH_44_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,6 sides buoy,
OAH_45-001,OAH_45,Hard plastic,HP,white,,,arabic number,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,Sheet,SH,pink,,,arabic numbers,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,-,-,clear,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,-,-,white,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,-,-,multi,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,-,-,clear,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,-,-,multi,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,Metal,MT,rust,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,Metal,MT,rust,,,English,,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,Hard plastic,HP,pink,,,"latin letters, arabic numbers",,,,,*folder w/subsamples has LAY samples,
OAH_45-001,OAH_45,Hard plastic,HP,white,,,Arabic numbers,,,,,OAH_45,
OAH_45-001,OAH_45,Float,FL,orange,,,Korean?,,,,,*folder w/subsamples has LAY samples,
OAH_47-001,OAH_47,Float,FL,yellow,,,English/ Arabic Numbers,,,USA,,OAH_47,
OAH_47-001,OAH_47,Other,O,white,,,English/ Arabic Numbers,,,,,OAH_47,
OAH_50-046,OAH_50,Float,F,pink,,,Japanese,,,,,OAH_50,
OAH_53-001,OAH_53,hard plastic,HP,multi,,,English/Arabic numbers,,,,,OAH_53,
OAH_59-001,OAH_59,Other,O,multi,,,Spanish/ Arabic Numbers,,,Ecuador,,OAH_59,
OAH_59_Buoy-001,OAH_59_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,OAH_59,
OAH_65-018,OAH_65,Hard Plastic,HP,White,,,English,,,,,18,
OAH_65-002,OAH_65,Float,FL,blue,,,Chinese,,,,,2,
OAH_65-002,OAH_65,Float,FL,blue,,,Chinese,,,,,2,
OAH_65-039,OAH_65,Sheet,Sh,Clear,,,Chinese,,Three Kings Tires,,,39,
OAH_65-064,OAH_65,Float,FL,Blue,,,Chinese,,,,,64,
OAH_65-008,OAH_65,Hard plastic,HP,white,,,Arabic numbers,,,,,8,
OAH_65-009,OAH_65,Multi,M,Multi,,,Chinese,,,,,9,
OAH_65-001,OAH_65,dFAD Beacon,FAD Beacon,,,,English,,,,,OAH_65,
OAH_65-005,OAH_65,Float,FL,orange,,,Chinese,,,,,5,
OAH_65-027,OAH_65,Float,FL,White,,,Arabic numbers and latin letters,Han Sung?,Han Sung?,,,27,
OAH_65-052,OAH_65,Float,FL,white,,,Chinese,,,,,52,
OAH_65-062,OAH_65,Float,FL,Orange,,,Japanese,,Sun Brand,,,62,
OAH_65_Buoy-001,OAH_65_Buoy,Buoy,B,Multi,Multi,,English,,,,,buoy opened,
OAH_70-001,OAH_70,Float,FL,Black,,,English,,,,,5 sides and field sampling,
OAH_70-001,OAH_70,Metal,MT,Silver,,,English/Arabic numbers,,,,,5 sides and field sampling,
OAH_70-001,OAH_70,Metal,MT,Silver,,,English/Arabic numbers,,,,,5 sides and field sampling,
OAH_71-001,OAH_71,-,-,White,,,Japanese,,,,,Lab Photos,
PAL_03_Buoy-010,PAL_03_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,PAL_3 (N Barren Onshore FAD 1),
PAL_03_Buoy-010,PAL_03_Buoy,Hard Plastic,HP,multi,multi,,English/Arabic numbers,,,,,PAL_3 (N Barren Onshore FAD 1),
PAL_05-010,PAL_05,Buoy,B,multi,,,latin letters/arabic numbers,,,,,*no photo in folder,
PAL_05-009,PAL_05,Hard Plastic,HP,white,,,Spanish,Industria Ecuatoriana,,Ecuador,,PAL_5 (N Barren FAD 2),
PAL_10-001,PAL_10,Buoy,,multi,,,English/Arabic numbers,,,,,PAL_10 (2020-13),
PAL_11-001,PAL_11,Float,FL,yellow,,,English/Arabic numbers,,,,,PAL_11 (2020-06),
PAL_13-001,PAL_13,Other,O,black,,,English/Arabic numbers,,,,,PAL_13 (2020-08),
PAL_15-001,PAL_15,Float,FL,yellow,,,Arabic numbers,,,,,PAL_15,
PAL_17-001,PAL_17,Sheet,SH,black,,,English/Arabic numbers,,,,,,
PAL_18-001,PAL_18,FAD,FAD,multi,,,English/Arabic numbers,,,,,,
PAL_18-001,PAL_18,Buoy,B,multi,,,English/Arabic numbers,,,,,PAL_18 (2021-02),
PAL_19-001,PAL_19,Float,F,black,,,English/Arabic numbers,,,,,PAL_19 (black float),
PAL_19-001,PAL_19,Hard Plastic,HP,pink,,,English/Arabic numbers,,,,,PAL_19 (black float),
PAL_20_Buoy-001,PAL_20_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,PAL_20 (ISL+303036 TNC ID 2020-04),
